Comment,Designator,Footprint,LCSC,Quantity
0p3,C23,C_0402_1005Metric,C76909,1
0p8,C20,C_0402_1005Metric,C3859264,1
100k,"R15,R6",R_0402_1005Metric,C25741,2
100n,"C10,C11,C13,C14,C16,C17,C19,C22,C25,C27,C28,C5,C7,C8",C_0402_1005Metric,C307331,14
10k,"R5,R7,R8,R9",R_0402_1005Metric,C25744,4
10n,"L1,L5",L_0402_1005Metric,C77103,2
10p,"C18,C21",C_0402_1005Metric,C32949,2
10u,L2,L_0805_2012Metric,C162582,1
10u,"C3,C30,C4,C9",C_0603_1608Metric,C96446,4
18k,R3,R_0402_1005Metric,C138044,1
1k,"R12,R14,R4",R_0402_1005Metric,C11702,3
1u,"C1,C2",C_0402_1005Metric,C52923,2
2n7,L3,L_0402_1005Metric,C113054,1
2u2,C6,C_0402_1005Metric,C77002,1
32MHz,X2,Crystal_SMD_2016-4Pin_2.0x1.6mm,C1986260,1
32kHz768,X1,Crystal_SMD_2012-2Pin_2.0x1.2mm,C891748,1
4u7,"C12,C24,C29",C_0603_1608Metric,C19666,3
5k1,"R1,R10,R11,R13,R2",R_0402_1005Metric,C25905,5
8n3,L4,L_0402_1005Metric,C412363,1
AMCA31-2R450G-S1F-T3,AE1,XDCR_AMCA31-2R450G-S1F-T3,C3283994,1
BMM350,U5,DP_WLCSP-9_1.21x1.22mm_Layout3x3_P0.4mm,C17225907,1
BQ25185DLHR,U2,WSON10_DLH_TEX,C19725033,1
DLF162500LT-5028A1,FLT1,FILTER-SMD_0603-4P-L1.6-W0.8-L-1,C531364,1
DP_USB_C_Receptacle_USB2.0_16P,J1,DP_USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C393939,1
LED_R,D1,LED_0402_1005Metric,C25503345,1
LED_V,"D2,D3",LED_0402_1005Metric,C965793,2
LSM6DSV16BXTR,U6,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C5267394,1
MAX17048G_T10,U4,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.3mm,C2682616,1
STM32WB55CEUx,U7,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C911135,1
SW_SPDT,SW1,SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH,C49023767,1
TLV74218PDQNR,U8,X2SON-4_L1.0-W1.0-P0.65-BL-EP,C485140,1
TPSM828224SILR,U3,USIP-10_L2.5-W2.0-P0.50-BL,C2862913,1
USBLC6-2P6,U1,SOT-666,C15999,1
