Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,AMCA31-2R450G-S1F-T3,XDCR_AMCA31-2R450G-S1F-T3,149.15783,-84.678545,0.0,top
C1,1u,C_0402_1005Metric,142.232352,-92.852259,180.0,top
C10,100n,C_0402_1005Metric,136.639969,-92.11051,180.0,top
C11,100n,C_0402_1005Metric,134.779969,-92.11051,0.0,top
C12,4u7,C_0603_1608Metric,132.57065,-105.2625,90.0,top
C13,100n,C_0402_1005Metric,134.25315,-105.245,180.0,top
C14,100n,C_0402_1005Metric,137.21315,-97.37,0.0,top
C16,100n,C_0402_1005Metric,139.01315,-107.3125,0.0,top
C17,100n,C_0402_1005Metric,145.01315,-100.5825,90.0,top
C18,10p,C_0402_1005Metric,145.48315,-102.41,0.0,top
C19,100n,C_0402_1005Metric,139.70315,-97.35,0.0,top
C2,1u,C_0402_1005Metric,148.333338,-92.819363,0.0,top
C20,0p8,C_0402_1005Metric,139.79315,-95.52,0.0,top
C21,10p,C_0402_1005Metric,145.48315,-106.37,0.0,top
C22,100n,C_0402_1005Metric,143.12065,-107.9375,-90.0,top
C23,0p3,C_0402_1005Metric,139.79315,-92.72,0.0,top
C24,4u7,C_0603_1608Metric,133.67065,-101.295,180.0,top
C25,100n,C_0402_1005Metric,145.52315,-97.67,180.0,top
C27,100n,C_0402_1005Metric,146.60315,-100.5825,90.0,top
C28,100n,C_0402_1005Metric,144.09565,-107.9375,-90.0,top
C29,4u7,C_0603_1608Metric,145.32065,-108.3625,-90.0,top
C3,10u,C_0603_1608Metric,149.36315,-96.54,180.0,top
C30,10u,C_0603_1608Metric,136.54565,-84.2625,180.0,top
C4,10u,C_0603_1608Metric,149.37315,-101.25,0.0,top
C5,100n,C_0402_1005Metric,148.333338,-95.1625,0.0,top
C6,2u2,C_0402_1005Metric,134.989969,-87.90051,180.0,top
C7,100n,C_0402_1005Metric,133.569969,-89.90051,90.0,top
C8,100n,C_0402_1005Metric,136.992469,-89.90051,-90.0,top
C9,10u,C_0603_1608Metric,133.269969,-94.14051,-90.0,top
D1,LED_R,LED_0402_1005Metric,150.503763,-90.845,0.0,top
D2,LED_V,LED_0402_1005Metric,150.503763,-91.945,0.0,top
D3,LED_V,LED_0402_1005Metric,142.07065,-87.3575,-90.0,top
FLT1,DLF162500LT-5028A1,FILTER-SMD_0603-4P-L1.6-W0.8-L-1,139.31315,-91.0825,90.0,top
J1,DP_USB_C_Receptacle_USB2.0_16P,DP_USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,125.74,-105.62,-90.0,top
JP1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,148.64315,-99.08,270.0,bottom
L1,10n,L_0402_1005Metric,134.23315,-104.27,180.0,top
L2,10u,L_0805_2012Metric,133.41315,-102.92,0.0,top
L3,2n7,L_0402_1005Metric,139.31315,-94.12,90.0,top
L4,8n3,L_0402_1005Metric,142.78315,-84.69,0.0,top
L5,10n,L_0402_1005Metric,144.21315,-85.175,-90.0,top
R1,5k1,R_0402_1005Metric,129.89565,-107.88,-90.0,top
R10,5k1,R_0402_1005Metric,142.212352,-94.8125,0.0,top
R11,5k1,R_0402_1005Metric,142.22065,-95.9125,0.0,top
R12,1k,R_0402_1005Metric,141.12065,-87.3825,90.0,top
R13,5k1,R_0402_1005Metric,145.50315,-98.64,180.0,top
R14,1k,R_0402_1005Metric,145.50315,-96.69,0.0,top
R15,100k,R_0402_1005Metric,134.22065,-100.0625,0.0,top
R2,5k1,R_0402_1005Metric,129.89565,-103.86,90.0,top
R3,18k,R_0402_1005Metric,142.21315,-90.881405,180.0,top
R4,1k,R_0402_1005Metric,142.212352,-91.872209,180.0,top
R5,10k,R_0402_1005Metric,142.21315,-89.891405,180.0,top
R6,100k,R_0402_1005Metric,143.96315,-89.27,90.0,top
R7,10k,R_0402_1005Metric,148.353763,-90.845,0.0,top
R8,10k,R_0402_1005Metric,148.353763,-91.845,0.0,top
R9,10k,R_0402_1005Metric,142.212352,-93.830804,180.0,top
SW1,SW_SPDT,SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH,148.75815,-107.1625,90.0,top
TP1,TestPoint,TestPoint_Pad_D1.5mm,143.62065,-110.8125,0.0,bottom
U1,USBLC6-2P6,SOT-666,133.34565,-107.865,0.0,top
U2,BQ25185DLHR,WSON10_DLH_TEX,145.21265,-91.77005,180.0,top
U3,TPSM828224SILR,USIP-10_L2.5-W2.0-P0.50-BL,149.45315,-98.89,-90.0,top
U4,MAX17048G_T10,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.3mm,145.23315,-94.62,90.0,top
U5,BMM350,DP_WLCSP-9_1.21x1.22mm_Layout3x3_P0.4mm,135.282469,-89.60051,180.0,top
U6,LSM6DSV16BXTR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,135.799969,-94.12051,180.0,top
U7,STM32WB55CEUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,139.72065,-102.3325,180.0,top
U8,TLV74218PDQNR,X2SON-4_L1.0-W1.0-P0.65-BL-EP,137.15065,-88.012449,0.0,top
X1,32kHz768,Crystal_SMD_2012-2Pin_2.0x1.2mm,145.27315,-104.37,-90.0,top
X2,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,134.02065,-98.2625,180.0,top
